Cluster,Index,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
Algol,,Prime,900,325,746.8,red,dwarf,Druuge,VI,Magma,8,8,1,1,1,0,78,26,2.1,6,143,75,107,-251,275,0,-940,6823
Algol,,Prime,900,325,746.8,red,dwarf,Druuge,V,Hydrocarbon,4,4,1,1,1,0,113,85,2.2,-6,101,109,110,-250,283,0,-940,6231
Algol,,Prime,900,325,746.8,red,dwarf,Druuge,IV,Purple,2,2,1,1,1,0,75,25,0.4,-13,61,37,22,-244,267,0,-940,4086
Algol,,Prime,900,325,746.8,red,dwarf,Druuge,III,Urea,6,6,3,1,1,0,29,29,0.3,-8,63,28,17,-239,210,92,360,2937
Algol,,Prime,900,325,746.8,red,dwarf,Druuge,II,Cimmerian,4,4,1,1,1,0,35,35,0.9,-1,151,31,46,-235,281,0,-940,2438
Algol,,Prime,900,325,746.8,red,dwarf,Druuge,I,Pellucid,2,2,1,1,1,0,0,0,0.4,21,62,33,20,-217,239,0,-940,1122
Almagest,,Prime,990.9,235.9,820.7,blue,dwarf,Druuge,IV,Cyanic,1,1,1,1,1,0,98,98,0.2,-2,33,32,10,-161,187,0,-940,7004
Almagest,,Prime,990.9,235.9,820.7,blue,dwarf,Druuge,III,Quasi-Degenerate,4,4,1,1,1,0,725,29,0.8,2,148,26,38,-145,51329,0,-740,5371
Almagest,,Prime,990.9,235.9,820.7,blue,dwarf,Druuge,II,Yttric,3,3,2,1,2,62,958,244,1,-7,146,34,49,-97,173,15,460,2840
Almagest,,Prime,990.9,235.9,820.7,blue,dwarf,Druuge,I,Opalescent,4,4,1,3,1,0,178,67,0.3,3,61,26,15,142,184,0,-590,521
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,IX,Opalescent,3,3,1,1,1,0,201,74,0.3,-29,62,27,16,-167,262,0,-940,7761
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,VIII,Gas Giant,8,2,8,1,1,0,0,0,3,-11,20,1182,236,-162,92,65535,-1,7089
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,VII,Xenolithic,4,4,1,1,1,0,186,47,1.9,-4,102,93,94,-154,272,10,160,6260
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,VI,Noble,1,1,1,1,1,0,337,94,0.2,14,33,35,11,-147,264,0,-740,5566
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,V,Lanthanide,5,5,1,1,1,0,965,193,1,-12,149,34,50,-116,298,0,-740,3564
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,IV,Lanthanide,6,6,1,1,1,0,695,139,0.9,-6,156,28,43,-99,174,0,-740,2909
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,III-a,Alkali,4,4,2,1,2,24,234,78,0.5,13,97,26,25,-69,282,10,360,2113
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,III,Ultraviolet,4,3,3,1,1,0,1634,300,2.5,-6,151,84,126,-69,152,112,410,2113
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,II,Copper,5,1,3,2,5,122,165,55,0.9,-24,150,30,45,56,190,85,710,1167
Altair,,Prime,450,650,574.9,blue,dwarf,Ur-Quan,I,Ultraviolet,10,4,8,8,1,0,690,177,2.4,-28,143,84,120,974,191,2670,-540,597
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,VI,Urea,5,5,2,1,1,15,26,26,0.3,-6,61,28,17,-184,190,80,360,7044
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,V-b,Chondrite,7,7,1,1,1,0,42,42,0.7,-10,103,35,36,-175,230,0,-940,5816
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,V,Gas Giant,8,2,8,1,1,0,0,0,2.8,4,20,712,142,-175,100,65535,-1,5816
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,V-a,Metal,7,2,2,1,7,31,643,193,0.8,8,145,29,42,-175,261,87,360,5816
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,IV,Auric,2,2,2,1,1,0,828,138,1.1,-13,156,35,54,-163,233,15,260,4649
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,III,Treasure,2,2,1,1,1,0,1410,235,1,20,197,26,51,-149,295,0,-740,3686
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,II,Gas Giant,8,2,8,1,1,0,0,0,3,5,20,1420,284,-129,151,65535,-1,2711
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,II-a,Noble,3,3,1,1,1,0,257,77,0.2,-30,32,27,8,-129,250,0,-740,2711
Andromedae,,Alpha,862.5,700,883.4,green,dwarf,None,I,Rainbow,6,1,4,6,1,0,1111,187,1.2,15,61,101,61,467,213,87,260,256
Andromedae,,Beta,866.6,710.4,893.1,green,dwarf,None,I,Super-Dense,5,5,2,1,1,0,180,60,1.1,-17,206,27,55,-174,178,92,360,5741
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,VII,Water,5,5,1,1,1,0,132,44,1.9,3,103,92,94,-230,216,13,160,7632
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,VI-c,Alkali,2,2,1,1,1,0,297,99,0.6,-3,103,31,31,-226,181,11,160,6358
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,VI-a,Azure,3,3,1,1,1,5,135,45,0.3,-10,62,27,16,-226,228,11,160,6358
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,VI,Gas Giant,8,2,8,1,1,0,0,0,3,-2,21,1116,234,-226,140,65535,-1,6358
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,VI-d,Selenic,2,2,1,1,1,0,153,51,0.4,-3,58,36,20,-226,162,0,-940,6358
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,VI-b,Ultramarine,3,3,2,1,1,0,394,94,0.2,-15,32,35,11,-226,27452,105,210,6358
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,V,Green,4,4,3,1,1,0,340,68,0.5,23,99,28,27,-218,248,86,360,4680
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,IV,Crimson,4,3,3,1,1,0,198,67,0.5,-3,100,27,27,-210,245,107,210,3568
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,III,Urea,6,6,3,1,1,0,8,8,0.3,50,59,29,17,-203,252,76,360,2863
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,II-b,Cimmerian,5,5,1,1,1,0,60,60,0.8,-2,145,27,39,-181,42209,0,-940,1675
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,II,Gas Giant,8,3,8,1,1,0,0,0,1.5,-9,20,389,77,-181,128,65535,-1,1675
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,II-a,Super-Dense,7,7,3,1,1,0,129,43,1.3,-12,200,33,66,-181,185,95,360,1675
Antares,,Prime,647.9,754.1,771,orange,dwarf,Kohr-Ah,I,Cimmerian,4,4,1,1,1,0,96,96,1,-11,151,34,51,-36,44018,0,-540,257
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,VIII,Gas Giant,8,1,8,1,1,0,0,0,1.3,2,21,306,64,-153,97,65535,-1,6151
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,VIII-b,Halide,1,1,1,1,1,0,274,137,0.4,-2,62,33,20,-153,151,0,-940,6151
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,VIII-a,Lanthanide,8,8,1,1,1,0,555,111,1.1,-19,149,37,55,-153,199,0,-940,6151
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,VIII-c,Radioactive,1,1,1,1,1,0,1616,202,1.3,-11,200,32,64,-153,170,0,-940,6151
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,VII,Lanthanide,6,6,1,1,1,0,1190,238,0.8,-3,156,26,40,-144,160,0,-740,5261
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,VI,Noble,3,3,1,1,1,0,85,25,0.2,5,34,26,8,-133,255,0,-740,4465
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,V,Treasure,1,1,1,1,1,0,1332,222,1.2,-2,208,29,60,-99,184,0,-740,2901
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,IV-d,Acid,2,2,1,1,1,0,173,173,0.6,-12,98,31,30,-76,298,0,-740,2275
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,IV-b,Cyanic,3,3,1,1,1,0,0,0,0.2,14,32,30,9,-76,227,0,-740,2275
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,IV,Gas Giant,8,3,8,1,1,0,0,0,3,-12,20,902,180,-76,96,65535,-1,2275
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,IV-a,Opalescent,4,4,1,1,1,0,201,53,0.4,-37,62,32,19,-76,221,0,-740,2275
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,IV-c,Treasure,1,1,1,1,1,0,942,157,1.4,5,210,34,71,-76,289,0,-740,2275
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,II,Quasi-Degenerate,5,5,1,1,1,0,875,35,1.1,-19,152,37,56,23,270,0,-340,1006
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,III,Metal,5,2,5,1,2,38,1246,342,1,-3,146,36,52,46,291,273,810,1617
Antliae,,Alpha,268.7,900,760.7,blue,dwarf,Thraddash,I,Noble,6,2,4,6,1,0,245,80,0.2,1,34,34,11,473,248,105,110,370
Antliae,,Beta,270.6,891,752,yellow,dwarf,Thraddash,II,Carbide,3,3,1,1,1,0,110,110,0.5,30,97,25,24,-194,278,0,-940,5010
Antliae,,Beta,270.6,891,752,yellow,dwarf,Thraddash,I,Noble,3,3,1,1,1,0,246,72,0.2,-14,32,27,8,-180,256,0,-940,3687
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,IV,Auric,1,1,1,1,1,0,1182,197,0.8,2,149,28,41,-155,220,11,160,6326
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,III,Gas Giant,8,3,8,1,1,0,0,0,2.7,7,21,655,137,-139,96,65535,-1,4870
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,III-c,Noble,3,3,1,1,1,0,284,71,0.2,8,32,28,8,-139,56921,0,-740,4870
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,III-a,Urea,5,5,3,1,1,0,31,31,0.4,8,63,30,18,-139,250,90,560,4870
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,III-b,Urea,7,7,3,1,1,0,80,80,0.3,-23,59,25,14,-139,217,80,560,4870
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,II,Water,4,4,2,1,1,10,168,56,1.7,15,103,82,84,-46,295,12,560,1726
Antliae,,Delta,305,883.3,749.6,blue,dwarf,Thraddash,I,Acid,3,2,3,2,2,33,304,304,0.7,-18,103,35,36,84,295,15,610,797
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VIII,Gas Giant,8,3,8,1,1,0,0,0,3,-8,20,1230,246,-144,83,65535,-1,7621
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VIII-c,Halide,2,2,1,1,1,0,484,134,0.4,-11,60,33,19,-144,219,0,-740,7621
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VIII-b,Metal,2,2,2,1,1,0,486,162,0.8,-5,151,28,42,-144,162,92,560,7621
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VIII-a,Quasi-Degenerate,4,4,1,1,1,0,600,24,1.1,20,144,37,53,-144,169,0,-740,7621
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VIII-d,Selenic,3,3,1,1,1,0,96,32,0.3,13,63,26,16,-144,282,0,-740,7621
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VII,Halide,2,2,1,1,1,0,70,35,0.4,-9,62,34,21,-125,297,0,-740,5786
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,VI,Lanthanide,6,6,1,1,1,0,725,145,0.9,-11,153,29,44,-118,257,0,-740,5293
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,V,Opalescent,3,3,1,1,1,0,186,48,0.4,-17,59,33,19,-106,191,0,-740,4555
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,IV-a,Alkali,5,5,2,1,5,44,171,57,0.6,-2,103,31,31,-97,203,10,360,4099
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,IV-b,Alkali,4,4,2,1,1,0,81,27,0.6,10,99,30,29,-97,219,13,360,4099
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,IV-c,Cyanic,2,2,1,1,1,0,30,30,0.2,10,33,32,10,-97,290,0,-740,4099
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,IV,Gas Giant,8,3,8,1,1,0,0,0,1.5,15,20,375,75,-97,126,65535,-1,4099
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,IV-d,Yttric,5,5,2,1,1,0,0,0,1.1,-10,153,35,53,-97,232,15,460,4099
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,III,Urea,7,7,3,1,1,21,0,0,0.3,-5,58,27,15,-70,176,80,560,3086
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,II,Treasure,3,3,2,1,1,10,1158,193,1.3,-8,204,32,65,-6,185,15,660,2172
Antliae,,Epsilon,253.5,891.7,750.7,white,dwarf,Thraddash,I,Alkali,7,4,6,7,1,0,183,61,0.7,-32,99,35,34,762,232,250,-290,563
Antliae,,Gamma,283.1,885.4,748.2,green,dwarf,Thraddash,II,Emerald,3,3,1,1,1,0,2650,106,0.9,9,59,79,46,-168,21217,0,-940,5101
Antliae,,Gamma,283.1,885.4,748.2,green,dwarf,Thraddash,II-a,Pellucid,1,1,1,1,1,0,0,0,0.3,8,61,25,15,-168,178,0,-940,5101
Antliae,,Gamma,283.1,885.4,748.2,green,dwarf,Thraddash,I,Organic,4,4,1,1,1,0,114,114,2.1,1,102,101,103,-158,237,0,-940,4228
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,V,Super-Dense,5,5,2,1,1,0,159,53,1.3,3,191,33,63,-251,236,83,360,7281
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,IV,Ruby,2,2,1,1,1,0,2450,98,1.3,-20,62,107,66,-250,187,0,-940,6368
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,III-c,Dust,4,4,2,1,1,0,81,27,0.4,-7,61,37,22,-247,197,15,260,5181
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,III,Gas Giant,8,2,8,1,1,0,0,0,3,0,20,879,175,-247,146,65535,-1,5181
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,III-a,Purple,2,2,1,1,1,0,45,15,0.4,2,63,29,18,-247,264,0,-940,5181
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,III-b,Selenic,3,3,1,1,1,0,258,86,0.4,-15,58,35,20,-247,27452,0,-940,5181
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,II,Maroon,2,2,2,1,1,0,129,43,1,-5,58,83,48,-244,263,14,160,4148
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,I,Gas Giant,8,3,8,1,1,0,0,0,3,-26,21,1361,285,-227,102,65535,-1,1672
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,I-b,Infrared,7,4,3,1,7,104,90,30,0.6,9,100,31,31,-227,263,112,210,1672
Antliae,,Zeta,258.1,910.5,769.9,red,dwarf,Thraddash,I-a,Noble,1,1,1,1,1,0,197,59,0.2,-19,32,25,8,-227,179,0,-940,1672
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,V,Chondrite,10,8,1,8,1,0,125,125,0.6,-17,98,32,31,1155,222,0,-1440,6253
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,VI,Selenic,8,3,2,8,1,0,297,99,0.4,13,61,33,20,1300,244,94,-140,7558
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,IV,Carbide,8,4,3,8,1,0,130,130,0.7,-32,102,36,36,1528,226,109,-290,5149
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,III-b,Carbide,8,3,3,8,1,0,189,189,0.5,34,101,27,27,1794,279,77,-140,3717
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,III-c,Carbide,8,3,3,8,1,0,134,134,0.7,-12,104,35,36,1828,266,87,-140,3717
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,III-a,Super-Dense,10,7,7,8,1,0,402,134,1.1,5,193,30,57,2653,237,3404,-540,3717
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,III,Gas Giant,10,2,8,8,1,0,0,0,2.6,-19,20,652,130,2669,113,65535,-1,3717
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,II,Ultramarine,9,2,7,8,1,0,487,113,0.2,13,34,27,9,3154,150,2846,-540,2258
Apodis,,Alpha,258.2,850.7,710.5,yellow,super giant,Thraddash,I,Treasure,8,2,3,8,1,0,1680,280,1.5,2,199,37,73,3222,250,85,-140,1217
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,IX,Gas Giant,8,2,8,1,1,0,0,0,1.7,2,21,396,83,-252,150,65535,-1,7822
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,IX-b,Ultramarine,6,3,2,1,6,49,281,67,0.2,6,33,30,9,-252,283,109,210,7822
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,IX-a,Urea,7,7,2,1,1,14,28,28,0.4,-19,60,33,19,-252,298,89,360,7822
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,IX-c,Urea,6,6,2,1,1,0,0,0,0.4,-18,63,31,19,-252,218,100,210,7822
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VIII,Maroon,2,2,1,1,1,0,220,100,0.9,-3,58,81,46,-251,254,14,160,6851
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VII-a,Dust,2,2,1,1,1,0,138,46,0.4,1,60,31,18,-249,186,15,260,6038
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VII,Gas Giant,8,2,8,1,1,0,0,0,3,20,20,1261,252,-249,101,65535,-1,6038
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VI-c,Chondrite,6,6,1,1,1,0,0,0,0.6,13,102,30,30,-247,243,0,-940,4892
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VI-d,Chondrite,7,7,1,1,1,0,46,46,0.5,20,103,26,26,-247,176,0,-940,4892
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VI,Gas Giant,8,2,8,1,1,0,0,0,2.1,-9,21,503,105,-247,138,65535,-1,4892
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VI-b,Metal,5,3,3,1,4,12,1270,331,1.1,11,144,37,53,-247,284,75,360,4892
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,VI-a,Urea,6,6,3,1,1,0,24,24,0.4,-13,62,35,21,-247,29332,81,360,4892
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,V,Magnetic,5,5,1,1,1,0,349,109,2.5,-8,154,81,124,-244,271,0,-940,4150
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,IV,Selenic,2,2,1,1,1,0,66,22,0.3,-17,58,31,17,-241,245,0,-940,3415
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,III,Maroon,3,3,2,1,1,0,350,170,1.2,-1,63,97,61,-238,193,13,160,2794
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,II,Ruby,2,2,1,1,1,0,2400,96,0.9,-18,58,82,47,-226,219,0,-940,1567
Apodis,,Beta,259.3,856.9,716.8,red,dwarf,Thraddash,I,Dust,4,3,3,1,1,0,120,40,0.4,-1,62,33,20,-199,286,11,160,637
Apodis,,Delta,253.6,850.4,709.7,green,dwarf,Thraddash,I,Halide,3,3,1,1,1,0,544,182,0.4,7,60,30,18,-156,216,0,-940,4083
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,IX-b,Alkali,4,4,1,1,1,43,246,82,0.6,-17,101,30,30,-231,266,13,160,7929
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,IX-a,Cimmerian,3,3,1,1,1,0,104,104,0.9,-12,151,30,45,-231,20535,0,-940,7929
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,IX,Gas Giant,8,3,8,1,1,0,0,0,3,-8,20,910,182,-231,105,65535,-1,7929
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VIII-b,Copper,3,3,1,1,1,0,561,187,1,19,157,33,51,-229,26678,15,260,7052
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VIII-a,Crimson,2,2,2,1,1,0,265,95,0.5,-19,100,25,25,-229,276,99,360,7052
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VIII,Gas Giant,8,2,8,1,1,0,0,0,3,21,21,820,172,-229,118,65535,-1,7052
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VII,Gas Giant,8,1,8,1,1,0,0,0,3,-13,21,1205,253,-225,105,65535,-1,6004
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VI-b,Chondrite,5,5,1,1,1,0,57,57,0.5,2,99,27,26,-221,255,0,-940,5239
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VI-c,Copper,2,1,2,1,1,0,501,167,0.7,-18,149,25,37,-221,253,10,160,5239
Apodis,,Gamma,256.2,857.2,716.7,orange,dwarf,Thraddash,VI,Gas Giant,8,2,8,1,1,0,0,0,3,-3,20,811,162,-221,92,65535,-1,5239
